creative_id,campaign_id,advertiser_name,app_name,vertical,format,width,height,language,creative_launch_date,theme,hook_type,cta_text,headline,subhead,dominant_color,emotional_tone,duration_sec,text_density,copy_length_chars,readability_score,brand_visibility_score,clutter_score,novelty_score,motion_score,faces_count,product_count,has_price,has_discount_badge,has_gameplay,has_ugc_style,asset_file
500022,20003,CloudRoute,CloudRoute Getaway,travel,rewarded_video,360,640,ja,2026-01-13,trust,last-minute deal,Learn more,Fly smarter,Hotels + flights in one tap,purple,premium,15,0.314,56,0.898,0.686,0.428,0.177,0.606,0,0,0,0,0,1,assets/creative_500022.png
500023,20003,CloudRoute,CloudRoute Getaway,travel,interstitial,360,640,pt,2026-01-16,discount,escape,Install now,Escape this weekend,Flexible booking options,orange,premium,0,0.05,71,0.789,0.667,0.281,0.618,0.824,0,0,1,1,0,0,assets/creative_500023.png
500024,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,320,480,it,2026-02-01,urgency,exclusive,Install now,Dinner in minutes,Fresh favorites nearby,red,calm,0,0.457,79,0.895,0.598,0.253,0.554,0.455,0,3,1,1,0,0,assets/creative_500024.png
500025,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,320,480,it,2026-01-17,food-closeup,2-for-1,Shop now,Hungry? We got you,Fresh favorites nearby,red,adventurous,0,0.663,52,0.817,0.729,0.28,0.404,0.611,0,2,1,1,0,0,assets/creative_500025.png
500026,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,320,480,en,2026-01-28,urgency,2-for-1,Shop now,"Fast food, fast",Free delivery over $15,blue,trustworthy,0,0.411,85,0.697,0.689,0.499,0.491,0.603,0,2,1,1,0,1,assets/creative_500026.png
500027,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,320,480,it,2026-01-18,food-closeup,free shipping,Learn more,Dinner in minutes,Fresh favorites nearby,yellow,urgent,0,0.59,34,0.71,0.625,0.524,0.552,0.303,0,1,0,0,0,0,assets/creative_500027.png
500028,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,320,480,it,2026-01-28,combo,exclusive,Install now,"Fast food, fast",Late-night deals available,orange,playful,0,0.266,63,0.733,0.53,0.16,0.822,0.273,0,1,1,1,0,1,assets/creative_500028.png
500029,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,320,480,it,2026-01-16,combo,fast,Get offer,2-for-1 tonight,Free delivery over $15,purple,playful,0,0.527,82,0.893,0.618,0.208,0.293,0.481,1,1,1,1,0,0,assets/creative_500029.png
500030,20005,MoonScreen,MoonScreen TV,entertainment,rewarded_video,360,640,es,2026-01-24,ugc,late-night,Watch now,Binge starts now,New hits every week,orange,trustworthy,30,0.296,50,0.875,0.303,0.119,0.811,0.619,1,1,0,0,0,1,assets/creative_500030.png
500031,20005,MoonScreen,MoonScreen TV,entertainment,interstitial,360,640,es,2026-01-27,ugc,new collection,Claim reward,Watch what’s trending,New hits every week,blue,premium,8,0.17,61,0.667,0.612,0.46,0.4,0.71,0,1,0,0,0,1,assets/creative_500031.png
500032,20005,MoonScreen,MoonScreen TV,entertainment,interstitial,360,640,es,2026-01-24,drama,exclusive,Book now,Watch what’s trending,Start free today,purple,excited,5,0.406,43,0.869,0.619,0.511,0.859,1.0,1,2,1,0,0,0,assets/creative_500032.png
500033,20005,MoonScreen,MoonScreen TV,entertainment,native,320,320,es,2026-01-15,ugc,new collection,Order now,Binge starts now,Start free today,red,urgent,0,0.55,64,0.795,0.413,0.363,0.66,0.806,4,2,1,0,0,1,assets/creative_500033.png
500034,20005,MoonScreen,MoonScreen TV,entertainment,banner,320,480,it,2026-01-16,celebrity,trending,Install now,Exclusive tonight,Cancel anytime,blue,urgent,0,0.425,52,0.778,0.682,0.328,0.888,0.965,1,0,1,0,0,1,assets/creative_500034.png
500035,20005,MoonScreen,MoonScreen TV,entertainment,rewarded_video,360,640,it,2026-02-02,wanderlust,trending,Start now,Exclusive tonight,New hits every week,lime,adventurous,6,0.115,36,0.593,0.253,0.445,0.538,0.704,3,2,0,0,0,0,assets/creative_500035.png
500036,20006,NeonArena,NeonArena Quest,gaming,rewarded_video,360,640,it,2026-01-14,competitive,free rewards,Claim reward,Level up today,No ads in first week,blue,excited,30,0.523,40,0.626,0.643,0.386,0.676,0.864,1,1,0,0,0,0,assets/creative_500036.png
500037,20006,NeonArena,NeonArena Quest,gaming,native,320,320,pt,2026-01-08,gameplay,security,Watch now,Beat your rivals,Play with friends tonight,lime,calm,0,0.471,63,0.645,0.608,0.265,0.959,0.989,0,1,0,0,1,0,assets/creative_500037.png
500038,20006,NeonArena,NeonArena Quest,gaming,rewarded_video,360,640,pt,2026-01-17,competitive,competition,Try for free,Beat your rivals,Play with friends tonight,blue,calm,6,0.099,33,0.699,0.705,0.481,0.859,0.809,0,0,0,0,0,0,assets/creative_500038.png
500039,20006,NeonArena,NeonArena Quest,gaming,interstitial,360,640,fr,2026-01-15,ugc,fast,Get offer,Beat your rivals,Free rewards for new players,blue,adventurous,12,0.323,54,0.718,0.746,0.368,0.733,1.0,2,1,0,0,0,0,assets/creative_500039.png
500040,20006,NeonArena,NeonArena Quest,gaming,rewarded_video,360,640,pt,2026-01-14,reward,power-up,Book now,Unlock rare gear,Free rewards for new players,blue,calm,20,0.16,29,0.882,0.603,0.413,0.469,0.719,1,1,0,0,1,0,assets/creative_500040.png
500041,20006,NeonArena,NeonArena Quest,gaming,rewarded_video,360,640,it,2026-01-05,fantasy,fast,Shop now,Unlock rare gear,Play with friends tonight,blue,playful,6,0.363,29,0.705,0.285,0.457,0.514,0.95,1,2,0,0,1,0,assets/creative_500041.png
500042,20007,ThreadMark,ThreadMark Shop,ecommerce,banner,320,480,ja,2026-01-06,discount,limited offer,Try for free,Flash sale live,Shop bestsellers now,blue,premium,0,0.05,73,0.835,0.754,0.517,0.458,0.348,1,2,1,0,0,0,assets/creative_500042.png
500043,20007,ThreadMark,ThreadMark Shop,ecommerce,interstitial,360,640,en,2026-01-07,product-focus,free rewards,Order now,Your next favorite pick,Free shipping over $25,red,excited,12,0.27,76,0.878,0.586,0.329,0.675,0.493,3,1,1,1,0,0,assets/creative_500043.png
500044,20007,ThreadMark,ThreadMark Shop,ecommerce,native,320,320,en,2026-01-01,product-focus,free shipping,Claim reward,Flash sale live,Shop bestsellers now,purple,playful,0,0.783,49,0.781,0.53,0.531,0.97,0.48,2,3,0,0,0,1,assets/creative_500044.png
500045,20007,ThreadMark,ThreadMark Shop,ecommerce,rewarded_video,360,640,en,2026-01-12,minimalist,limited offer,Install now,Limited stock,Only this weekend,purple,premium,30,0.461,56,0.649,0.676,0.482,0.356,0.152,1,3,0,1,0,1,assets/creative_500045.png
500046,20007,ThreadMark,ThreadMark Shop,ecommerce,banner,320,480,en,2026-01-19,testimonial,new collection,Start now,Limited stock,Free shipping over $25,orange,playful,0,0.416,62,0.945,0.79,0.268,0.485,0.574,2,2,0,1,0,0,assets/creative_500046.png
500047,20007,ThreadMark,ThreadMark Shop,ecommerce,rewarded_video,360,640,en,2026-01-08,ugc,free shipping,Watch now,Limited stock,Free shipping over $25,black,calm,15,0.439,53,0.882,0.975,0.308,0.341,0.087,4,2,1,0,0,0,assets/creative_500047.png
500048,20008,CoinBridge,CoinBridge Invest,fintech,native,320,320,de,2026-01-30,feature-focus,cashback,Shop now,Secure & simple,Built for peace of mind,blue,trustworthy,0,0.323,42,0.859,0.98,0.137,0.533,0.237,1,1,0,0,0,0,assets/creative_500048.png
500049,20008,CoinBridge,CoinBridge Invest,fintech,banner,320,480,es,2026-01-31,trust,cashback,Get offer,Track every euro,No hidden fees,green,trustworthy,0,0.188,62,0.929,0.719,0.205,0.422,0.133,0,2,0,0,0,0,assets/creative_500049.png
500050,20008,CoinBridge,CoinBridge Invest,fintech,banner,320,480,de,2026-01-19,feature-focus,save smarter,Start now,Secure & simple,No hidden fees,blue,excited,0,0.267,48,0.99,0.695,0.118,0.139,0.289,1,0,0,1,0,0,assets/creative_500050.png
500051,20008,CoinBridge,CoinBridge Invest,fintech,banner,320,480,en,2026-01-24,food-closeup,security,Book now,"Your money, clearer","Fast signup, instant card",green,adventurous,0,0.347,59,0.877,0.684,0.31,0.424,0.329,1,2,0,0,0,0,assets/creative_500051.png
500052,20008,CoinBridge,CoinBridge Invest,fintech,banner,320,480,es,2026-01-15,product-focus,security,Watch now,Save with confidence,No hidden fees,black,excited,0,0.429,49,0.867,0.635,0.188,0.462,0.318,1,1,0,0,0,1,assets/creative_500052.png
500053,20008,CoinBridge,CoinBridge Invest,fintech,interstitial,360,640,en,2026-01-18,fantasy,earn more,Install now,Secure & simple,Built for peace of mind,blue,excited,0,0.562,50,0.99,0.74,0.193,0.211,0.402,2,0,0,0,0,1,assets/creative_500053.png
500054,20009,DriftPass,DriftPass Travel,travel,rewarded_video,360,640,en,2026-01-15,feature-focus,last-minute deal,Learn more,Last-minute savings,Hotels + flights in one tap,teal,trustworthy,10,0.123,75,0.747,0.636,0.288,0.644,0.366,0,1,0,1,0,0,assets/creative_500054.png
500055,20009,DriftPass,DriftPass Travel,travel,rewarded_video,360,640,it,2026-01-16,destination,discover,Install now,Dream destinations await,Flexible booking options,white,playful,10,0.298,70,0.886,0.507,0.281,0.96,0.609,3,0,1,0,0,1,assets/creative_500055.png
500056,20009,DriftPass,DriftPass Travel,travel,rewarded_video,360,640,en,2026-01-08,food-closeup,book now,Book now,Escape this weekend,Hotels + flights in one tap,teal,adventurous,10,0.291,95,0.865,0.611,0.02,0.742,0.761,1,2,0,0,0,1,assets/creative_500056.png
500057,20009,DriftPass,DriftPass Travel,travel,interstitial,360,640,it,2026-01-11,celebrity,cashback,Learn more,Dream destinations await,Flexible booking options,lime,trustworthy,8,0.564,44,0.676,0.445,0.02,0.789,0.552,1,1,0,0,0,0,assets/creative_500057.png
500058,20009,DriftPass,DriftPass Travel,travel,native,320,320,en,2026-01-06,family,last-minute deal,Try for free,Book your next trip,Special fares today,teal,playful,0,0.63,70,0.852,0.497,0.198,0.896,0.441,1,1,0,1,0,0,assets/creative_500058.png
500059,20009,DriftPass,DriftPass Travel,travel,rewarded_video,360,640,en,2026-01-04,food-closeup,escape,Try for free,Book your next trip,Flexible booking options,purple,premium,10,0.469,80,0.782,0.519,0.173,0.804,0.242,1,1,0,0,0,0,assets/creative_500059.png
500060,20010,BiteRush,BiteRush Delivery,food_delivery,native,320,320,es,2026-01-03,celebrity,free delivery,Try for free,Dinner in minutes,Late-night deals available,red,trustworthy,0,0.402,31,0.767,0.559,0.45,0.656,0.381,1,2,1,0,0,1,assets/creative_500060.png
500061,20010,BiteRush,BiteRush Delivery,food_delivery,native,320,320,en,2026-01-04,food-closeup,late-night,Watch now,Hungry? We got you,Fresh favorites nearby,red,adventurous,0,0.644,71,0.801,0.572,0.167,0.463,0.413,1,2,1,0,0,0,assets/creative_500061.png
500062,20010,BiteRush,BiteRush Delivery,food_delivery,interstitial,360,640,en,2026-01-07,combo,late-night,Install now,"Fast food, fast",Free delivery over $15,purple,trustworthy,5,0.383,55,0.742,0.585,0.399,0.553,0.323,1,2,1,1,0,1,assets/creative_500062.png
500063,20010,BiteRush,BiteRush Delivery,food_delivery,interstitial,360,640,en,2026-01-11,drama,book now,Book now,2-for-1 tonight,Fresh favorites nearby,purple,calm,12,0.337,77,0.781,0.585,0.516,0.703,0.295,2,3,0,1,0,0,assets/creative_500063.png
500064,20010,BiteRush,BiteRush Delivery,food_delivery,interstitial,360,640,es,2026-01-20,discount,2-for-1,Try for free,"Fast food, fast",Free delivery over $15,purple,excited,0,0.477,86,0.99,0.499,0.252,0.703,0.161,1,2,1,0,0,0,assets/creative_500064.png
500065,20010,BiteRush,BiteRush Delivery,food_delivery,native,320,320,es,2026-01-14,food-closeup,2-for-1,Get offer,"Your cravings, delivered",Late-night deals available,yellow,trustworthy,0,0.568,69,0.918,0.752,0.498,0.551,0.52,1,1,1,0,0,0,assets/creative_500065.png
500066,20011,FluxStream,FluxStream Play,entertainment,rewarded_video,360,640,de,2026-01-12,trailer,watch now,Start now,Watch what’s trending,Cancel anytime,blue,excited,10,0.102,60,0.814,0.564,0.247,0.759,0.691,3,2,0,0,0,0,assets/creative_500066.png
500067,20011,FluxStream,FluxStream Play,entertainment,interstitial,360,640,de,2026-01-08,celebrity,security,Order now,Stream the hype,Cancel anytime,blue,adventurous,8,0.743,64,0.921,0.758,0.569,0.46,0.795,1,1,0,0,0,0,assets/creative_500067.png
500068,20011,FluxStream,FluxStream Play,entertainment,rewarded_video,360,640,de,2026-01-04,celebrity,exclusive,Book now,Watch what’s trending,Start free today,black,playful,10,0.232,55,0.717,0.418,0.504,0.586,0.789,3,1,1,0,0,1,assets/creative_500068.png
500069,20011,FluxStream,FluxStream Play,entertainment,rewarded_video,360,640,de,2026-01-22,celebrity,watch now,Watch now,A new season drops,Start free today,red,excited,15,0.134,66,0.707,0.503,0.402,0.526,0.768,1,2,1,0,0,0,assets/creative_500069.png
500070,20011,FluxStream,FluxStream Play,entertainment,rewarded_video,360,640,fr,2026-01-20,product-focus,security,Install now,Binge starts now,Start free today,purple,trustworthy,20,0.056,50,0.822,0.457,0.399,0.904,0.527,1,1,0,0,0,1,assets/creative_500070.png
500071,20011,FluxStream,FluxStream Play,entertainment,native,320,320,fr,2026-01-06,ugc,watch now,Watch now,Stream the hype,New hits every week,purple,premium,0,0.278,33,0.99,0.616,0.44,0.553,0.738,3,0,0,0,0,0,assets/creative_500071.png
500072,20012,VoxelRealm,VoxelRealm Battle,gaming,interstitial,360,640,fr,2026-01-19,gameplay,challenge,Get offer,Level up today,Play with friends tonight,lime,calm,8,0.19,24,0.712,0.362,0.276,0.551,0.661,0,2,0,0,1,0,assets/creative_500072.png
500073,20012,VoxelRealm,VoxelRealm Battle,gaming,banner,320,480,fr,2026-01-17,drama,competition,Claim reward,Join the arena,Play with friends tonight,lime,calm,0,0.264,34,0.607,0.5,0.416,0.827,0.907,2,0,0,0,0,0,assets/creative_500073.png
500074,20012,VoxelRealm,VoxelRealm Battle,gaming,rewarded_video,360,640,en,2026-01-19,gameplay,free rewards,Watch now,Join the arena,Play with friends tonight,purple,calm,20,0.32,12,0.873,0.487,0.334,0.708,1.0,2,1,0,0,1,0,assets/creative_500074.png
500075,20012,VoxelRealm,VoxelRealm Battle,gaming,interstitial,360,640,en,2026-01-17,food-closeup,watch now,Start now,Unlock rare gear,No ads in first week,blue,calm,5,0.05,38,0.595,0.402,0.364,0.69,0.715,0,0,0,0,0,0,assets/creative_500075.png
500076,20012,VoxelRealm,VoxelRealm Battle,gaming,playable,360,640,ja,2026-01-10,celebrity,challenge,Get offer,Unlock rare gear,No ads in first week,purple,premium,15,0.511,69,0.856,0.804,0.405,0.651,0.999,2,3,0,0,1,1,assets/creative_500076.png
500077,20012,VoxelRealm,VoxelRealm Battle,gaming,interstitial,360,640,en,2026-01-23,reward,challenge,Learn more,Win epic rewards,No ads in first week,purple,playful,12,0.36,48,0.725,0.529,0.632,0.647,1.0,2,2,0,0,1,1,assets/creative_500077.png
500078,20013,BoltCart,BoltCart Drops,ecommerce,banner,320,480,pt,2026-01-27,product-focus,before/after,Get offer,Flash sale live,Shop bestsellers now,purple,calm,0,0.678,41,0.826,0.77,0.486,0.349,0.565,1,2,1,1,0,1,assets/creative_500078.png
500079,20013,BoltCart,BoltCart Drops,ecommerce,banner,320,480,de,2026-01-25,reward,before/after,Book now,Your next favorite pick,Free shipping over $25,white,trustworthy,0,0.613,78,0.872,0.98,0.289,0.625,0.489,0,3,0,1,0,0,assets/creative_500079.png
500080,20013,BoltCart,BoltCart Drops,ecommerce,interstitial,360,640,de,2026-01-27,testimonial,free shipping,Claim reward,Limited stock,Free shipping over $25,white,calm,5,0.533,55,0.936,0.514,0.554,0.765,0.652,2,1,1,0,0,1,assets/creative_500080.png
500081,20013,BoltCart,BoltCart Drops,ecommerce,native,320,320,de,2026-02-04,discount,new collection,Claim reward,Your next favorite pick,Shop bestsellers now,lime,calm,0,0.585,67,0.98,0.359,0.168,0.302,0.415,1,1,1,1,0,1,assets/creative_500081.png
500082,20013,BoltCart,BoltCart Drops,ecommerce,rewarded_video,360,640,pt,2026-01-31,discount,new collection,Get offer,Your next favorite pick,Free shipping over $25,teal,calm,15,0.582,47,0.873,0.551,0.451,0.316,0.475,3,0,1,1,0,1,assets/creative_500082.png
500083,20013,BoltCart,BoltCart Drops,ecommerce,native,320,320,pt,2026-02-03,discount,free shipping,Watch now,Limited stock,Only this weekend,orange,calm,0,0.272,17,0.99,0.727,0.364,0.658,0.741,4,3,1,1,0,0,assets/creative_500083.png
500084,20014,VaultRun,VaultRun Pay,fintech,native,320,320,es,2026-02-06,testimonial,save smarter,Get offer,Track every euro,Built for peace of mind,white,playful,0,0.202,48,0.928,0.795,0.129,0.537,0.402,0,1,0,1,0,0,assets/creative_500084.png
500085,20014,VaultRun,VaultRun Pay,fintech,native,320,320,en,2026-02-04,feature-focus,exclusive,Order now,Secure & simple,No hidden fees,blue,premium,0,0.399,66,0.833,0.764,0.243,0.435,0.106,1,1,1,0,0,0,assets/creative_500085.png
500086,20014,VaultRun,VaultRun Pay,fintech,interstitial,360,640,de,2026-01-26,family,free shipping,Install now,Earn cashback daily,Built for peace of mind,purple,playful,12,0.646,69,0.99,0.65,0.23,0.151,0.29,0,1,0,0,0,0,assets/creative_500086.png
500087,20014,VaultRun,VaultRun Pay,fintech,interstitial,360,640,en,2026-01-27,feature-focus,earn more,Install now,Save with confidence,No hidden fees,green,urgent,5,0.389,75,0.952,0.784,0.32,0.538,0.344,2,1,0,1,0,1,assets/creative_500087.png
500088,20014,VaultRun,VaultRun Pay,fintech,native,320,320,de,2026-02-02,ugc,save smarter,Shop now,Earn cashback daily,No hidden fees,black,premium,0,0.21,45,0.99,0.91,0.38,0.455,0.337,1,1,0,0,0,0,assets/creative_500088.png
500089,20014,VaultRun,VaultRun Pay,fintech,interstitial,360,640,en,2026-01-21,trust,trending,Get offer,Save with confidence,"Fast signup, instant card",purple,urgent,5,0.755,74,0.99,0.705,0.214,0.512,0.209,2,0,0,0,0,1,assets/creative_500089.png
500090,20015,HorizonHop,HorizonHop Trips,travel,rewarded_video,360,640,es,2026-02-01,competitive,escape,Try for free,Fly smarter,Flexible booking options,orange,premium,10,0.697,48,0.835,0.704,0.166,0.768,0.647,2,0,1,0,0,0,assets/creative_500090.png
500091,20015,HorizonHop,HorizonHop Trips,travel,rewarded_video,360,640,ja,2026-01-25,destination,discover,Start now,Escape this weekend,Special fares today,blue,calm,10,0.076,79,0.78,0.628,0.405,0.45,0.616,2,1,0,1,0,1,assets/creative_500091.png
500092,20015,HorizonHop,HorizonHop Trips,travel,native,320,320,es,2026-01-25,discount,last-minute deal,Learn more,Escape this weekend,Special fares today,purple,adventurous,0,0.137,29,0.719,0.568,0.411,0.359,0.242,1,0,1,1,0,1,assets/creative_500092.png
500093,20015,HorizonHop,HorizonHop Trips,travel,native,320,320,ja,2026-01-27,discount,book now,Install now,Escape this weekend,Hotels + flights in one tap,blue,adventurous,0,0.214,45,0.635,0.931,0.223,0.474,0.709,2,1,1,1,0,0,assets/creative_500093.png
500094,20015,HorizonHop,HorizonHop Trips,travel,rewarded_video,360,640,es,2026-02-02,feature-focus,book now,Order now,Escape this weekend,Hotels + flights in one tap,orange,calm,15,0.316,37,0.786,0.71,0.324,0.877,0.641,1,1,1,1,0,1,assets/creative_500094.png
500095,20015,HorizonHop,HorizonHop Trips,travel,native,320,320,es,2026-02-01,destination,discover,Order now,Book your next trip,Flexible booking options,white,calm,0,0.441,29,0.894,0.374,0.25,0.364,0.377,3,1,0,0,0,0,assets/creative_500095.png
500096,20016,FreshDash,FreshDash Bites,food_delivery,native,320,320,de,2026-01-09,urgency,free delivery,Order now,"Fast food, fast",Free delivery over $15,yellow,excited,0,0.359,79,0.825,0.825,0.238,0.46,0.643,0,1,1,1,0,0,assets/creative_500096.png
500097,20016,FreshDash,FreshDash Bites,food_delivery,banner,320,480,en,2026-01-21,food-closeup,2-for-1,Book now,"Fast food, fast",Free delivery over $15,red,adventurous,0,0.772,53,0.839,0.529,0.197,0.715,0.603,0,1,0,1,0,1,assets/creative_500097.png
500098,20016,FreshDash,FreshDash Bites,food_delivery,interstitial,360,640,es,2026-01-22,discount,book now,Try for free,Hungry? We got you,Late-night deals available,yellow,excited,0,0.356,36,0.807,0.398,0.325,0.603,0.323,1,1,1,1,0,0,assets/creative_500098.png
500099,20016,FreshDash,FreshDash Bites,food_delivery,interstitial,360,640,en,2026-01-16,food-closeup,fast,Learn more,Hungry? We got you,Fresh favorites nearby,orange,playful,5,0.442,53,0.74,0.612,0.216,0.488,0.541,1,2,1,0,0,0,assets/creative_500099.png
500100,20016,FreshDash,FreshDash Bites,food_delivery,banner,320,480,es,2026-01-14,combo,late-night,Shop now,"Your cravings, delivered",Fresh favorites nearby,orange,calm,0,0.172,69,0.806,0.538,0.255,0.149,0.338,2,3,0,0,0,0,assets/creative_500100.png
500101,20016,FreshDash,FreshDash Bites,food_delivery,native,320,320,en,2026-01-16,wanderlust,fast,Book now,Hungry? We got you,Late-night deals available,orange,urgent,0,0.894,67,0.788,0.68,0.123,0.308,0.292,0,3,0,0,0,0,assets/creative_500101.png
500102,20017,PulsePlay,PulsePlay Box,entertainment,rewarded_video,360,640,en,2026-01-21,drama,new season,Learn more,A new season drops,New hits every week,red,excited,15,0.611,59,0.967,0.644,0.518,0.523,0.552,4,1,1,0,0,1,assets/creative_500102.png
500103,20017,PulsePlay,PulsePlay Box,entertainment,banner,320,480,ja,2026-01-25,trailer,new season,Claim reward,Stream the hype,Cancel anytime,red,adventurous,0,0.323,31,0.806,0.729,0.447,0.794,0.662,2,3,0,0,0,1,assets/creative_500103.png
